text,label
"Мне абсолютно не понравилось это место",0
"Отвратительный сервис, больше сюда не вернусь",0
"Очень разочарован продуктом",0
"Ничего хорошего сказать не могу",0
"Качество оставляет желать лучшего",0
"Ожидал гораздо большего",0
"Покупка оказалась пустой тратой денег",0
"Персонал не знает, как работать с клиентами",0
"Не рекомендую, лучше поискать что-то другое",0
"Совсем не понравилось",0
"Сервис ужасный, ожидали большего",0
"Разочарован, не оправдало ожидания",0
"Всё прошло не так, как хотелось",0
"Совершенно не стоит своих денег",0
"Это был худший опыт",0
"Невкусно и дорого",0
"К сожалению, разочарован",0
"Переплатил и не получил желаемого",0
"Обслуживание ужасное",0
"Товар не соответствует описанию",0
"Посетил новый ресторан в городе, но разочаровался. Еда была невкусной, обслуживание медленным и невнимательным",0
"Купил новый смартфон, но качество камеры оставляет желать лучшего. Фотографии получаются размытыми и нечеткими",0
"Забронировал номер в отеле, но по приезду обнаружил, что в номере грязно и неубрано",0
"Приобрел книгу известного автора, но содержание не соответствует ожиданиям. Автор пишет слишком сложно и непонятно",0
"Попробовал новый десерт в кафе, но вкус оказался слишком сладким и приторным",0
"Посещал спортивный зал несколько месяцев, но результаты не оправдали ожиданий. Тренер не дает эффективных рекомендаций",0
"Решила попробовать новый бренд косметики, но качество продукта оставляет желать лучшего",0
"Купила комплект постельного белья, но после стирки оно сильно полиняло",0
"Решил посетить новый кинотеатр, но звук в зале был плохим, а экран тусклым",0
"Выбрал дешевый вариант путешествия, но сервис оказался не на должном уровне",0
"Пробовал новый бренд одежды, но пошив оказался некачественным, нитки торчат",0
"Посетила новый салон красоты, но персонал не смог предложить ничего интересного",0
"Хотел купить подарок для ребенка, но выбор игрушек оказался скудным и некачественным",0
"Посетил тематическую выставку, но экспонаты показались мне неинтересными и плохо подготовленными",0
"Попробовала новый вид массажа, но ощущения были болезненными и неприятными",0
"Приобрёл набор посуды, но качество оказалось плохим, покрытие быстро слезало",0
"Взял напрокат автомобиль, но машина оказалась старой и с множеством поломок",0
"Решил попробовать новое блюдо в ресторане, но оно оказалось слишком острым и вызвало дискомфорт",0
"Ходил на занятия по изучению языка, но преподаватель не смог заинтересовать меня",0
"Купил билеты на концерт, но звук был плохим, и артисты выступали слабо",0
"Поехал в отпуск в новую страну, но сервис в отеле был плохим",0
"Отправился на экскурсию по городу, но информация была неинтересной и поверхностной",0
"Узнал о новом бренде косметики, но отзывы о нём были негативными",0
"Услышал о новом ресторане, но знакомые, которые там были, сказали, что еда не вкусная",0
"Увидел рекламу нового магазина, но цены показались мне завышенными",0
"Сходил в новый ресторан, где подают блюда азиатской кухни, но еда оказалась не очень вкусной",0
"Был на выставке современного искусства, но большинство работ мне не понравились",0
"Попробовал новое блюдо в местном кафе, но оно было пересолено",0
"Пытался найти недорогой подарок для друга, но выбор оказался ограниченным",0
"Слышал много хороших отзывов о новом туристическом маршруте, но на деле он оказался не таким интересным, как ожидалось",0
"Покупал товары в новом интернет-магазине, но доставка была медленной и дорогой",0
"Пользовался услугами новой фирмы по ремонту, но результат оказался неудовлетворительным",0
"Планировал сходить на новое мероприятие, но в итоге не пошел, так как отзывы были плохими",0
"Читал много положительных отзывов о новом фильме, но сам фильм не оправдал ожиданий",0
"Смотрел рекламу нового продукта, но не поверил ей, так как качество показалось низким",0
"Встретил много негативных отзывов о новой компании, которая предоставляла услуги",0


"Нормальный магазин, ничего особенного",1
"Средний сервис, не хуже и не лучше других",1
"Просто обычное кафе",1
"Не впечатлило, но и не разочаровало",1
"Среднее качество, приемлемо за такую цену",1
"Всё было в порядке",1
"Нормально, но не более",1
"Никаких эмоций, просто как есть",1
"Можно сходить, если рядом",1
"На троечку",1
"Нормально, но ожидал большего",1
"Местами хорошо, местами плохо",1
"Не могу сказать, что плохо, но и хорошо не скажешь",1
"Обычное место, ничего особенного",1
"Все прошло нормально",1
"Более или менее",1
"Обычный товар, как везде",1
"Устраивает, но без восторга",1
"Могло быть лучше",1
"Сойдет для одноразового посещения",1
"Посетил новый ресторан, но ничего особенного не заметил. Еда была обычной, обслуживание — стандартным. Ничего плохого, но и ничего выдающегося.",1
"Купил новый смартфон, и в целом остался доволен. Функции работают, камера делает хорошие снимки. Дизайн простой, без излишеств.",1
"Забронировал номер в отеле, и номер оказался хорошим. Чисто, уютно, персонал вежливый. Еда в ресторане вкусная, но не разнообразная.",1
"Приобрел книгу, и она оказалась неплохой. Автор пишет простым языком, без сложных конструкций. Но и не шедевр, можно найти и лучше.",1
